Date,Fuel Cost
2017-10-14,124.86
2017-10-15,124.5
2017-10-16,123.95
2017-10-17,122.97
2017-10-18,121.95
2017-10-19,120.65
2017-10-20,121.95
2017-10-21,125.32
2017-10-22,130.58
2017-10-23,138.88
2017-10-24,141.78
2017-10-25,141.89
2017-10-26,141.77
2017-10-27,141.49
2017-10-28,141.2
2017-10-29,140.98
2017-10-30,140.39
2017-10-31,138.97
2017-11-01,138.08
2017-11-02,136.4
2017-11-03,134.94
2017-11-04,133.51
2017-11-05,132.7
2017-11-06,131.99
2017-11-07,131.3
2017-11-08,130.27
2017-11-09,128.9
2017-11-10,126.79
2017-11-11,127.01
2017-11-12,130.2
2017-11-13,134.49
2017-11-14,146.35
2017-11-15,148.68
2017-11-16,149.2
2017-11-17,149.29
2017-11-18,149.21
2017-11-19,149.13
2017-11-20,148.95
2017-11-21,148.1
2017-11-22,148.29
2017-11-23,147.77
2017-11-24,147.01
2017-11-25,146.01
2017-11-26,145.11
2017-11-27,143.97
2017-11-28,142.93
2017-11-29,141.19
2017-11-30,140.58
2017-12-01,136.49
2017-12-02,136.4
2017-12-03,136.15
2017-12-04,134.98
2017-12-05,132.76
2017-12-06,129.72
2017-12-07,128.87
2017-12-08,129.94
2017-12-09,136.78
2017-12-10,146.95
2017-12-11,148.98
2017-12-12,149.12
2017-12-13,148.9
2017-12-14,148.9
2017-12-15,148.68
2017-12-16,148.59
2017-12-17,148.22
2017-12-18,147.92
2017-12-19,147.43
2017-12-20,146.36
2017-12-21,145.86
2017-12-22,144.98
2017-12-23,144.31
2017-12-24,143.87
2017-12-25,143.02
2017-12-26,142.77
2017-12-27,143.21
2017-12-28,142.98
2017-12-29,142.4
2017-12-30,141.92
2017-12-31,141.39
2018-01-01,140.12
2018-01-02,139.51
2018-01-03,137.98
2018-01-04,137.04
2018-01-05,136.49
2018-01-06,135.82
2018-01-07,135.42
2018-01-08,134.93
2018-01-09,133.83
2018-01-10,132.31
2018-01-11,131.32
2018-01-12,130.3
2018-01-13,129.53
2018-01-14,129.29
2018-01-15,128.97
2018-01-16,128.81
2018-01-17,129.0
2018-01-18,129.96
2018-01-19,135.98
2018-01-20,145.14
2018-01-21,148.67
2018-01-22,149.13
2018-01-23,148.8
2018-01-24,148.88
2018-01-25,148.57
2018-01-26,147.51
2018-01-27,146.89
2018-01-28,146.22
2018-01-29,145.84
2018-01-30,144.71
2018-01-31,142.94
2018-02-01,141.61
2018-02-02,139.95
2018-02-03,138.71
2018-02-04,138.2
2018-02-05,137.13
2018-02-06,135.5
2018-02-07,133.77
2018-02-08,131.95
2018-02-09,130.77
2018-02-10,129.23
2018-02-11,128.12
2018-02-12,127.12
2018-02-13,126.32
2018-02-14,125.96
2018-02-15,125.14
2018-02-16,125.05
2018-02-17,127.96
2018-02-18,134.12
2018-02-19,143.79
2018-02-20,148.59
2018-02-21,148.78
2018-02-22,149.22
2018-02-23,149.14
2018-02-24,148.95
2018-02-25,148.95
2018-02-26,148.5
2018-02-27,147.94
2018-02-28,146.89
2018-03-01,146.29
2018-03-02,144.95
2018-03-03,143.41
2018-03-04,142.33
2018-03-05,140.33
2018-03-06,138.6
2018-03-07,136.49
2018-03-08,135.72
2018-03-09,134.9
2018-03-10,134.0
2018-03-11,133.74
2018-03-12,132.16
2018-03-13,129.95
2018-03-14,127.95
2018-03-15,125.97
2018-03-16,125.01
2018-03-17,124.88
2018-03-18,124.97
2018-03-19,124.82
2018-03-20,126.22
2018-03-21,129.51
2018-03-22,136.58
2018-03-23,145.91
2018-03-24,148.96
2018-03-25,149.22
2018-03-26,148.88
2018-03-27,148.38
2018-03-28,147.53
2018-03-29,146.89
2018-03-30,146.49
2018-03-31,146.3
2018-04-01,145.88
2018-04-02,145.4
2018-04-03,144.78
2018-04-04,143.88
2018-04-05,142.79
2018-04-06,141.9
2018-04-07,141.39
2018-04-08,140.81
2018-04-09,140.19
2018-04-10,139.3
2018-04-11,138.9
2018-04-12,138.6
2018-04-13,138.3
